[13:40]	123:	
[13:41]	qwqw:	qwqw
[13:42]	qwqw:	qwqw
[13:42]	qwqw:	qwqw
[13:44]	qwqw:	qwqw
[13:44]	qwqw:	qwqw
[13:46]	qwqw:	qwqw
[13:49]	:	sddddddddddddddddddddddddddddddd
[13:50]	:	sddddddddddddddddddddddddddddddd
[13:50]	:	sddddddddddddddddddddddddddddddd
[14:02]	:	123
[14:02]	:	123
[14:04]	1212:	2121
[14:04]	12:	3343
[14:05]	M123:	qwqww
[14:05]	M123123:	2323
[14:05]	vbvb:	421334
[14:06]	cvc1:	cxcx
[14:06]	cvc1zxzxx:	zxzxzx
[14:07]	cvc1zxzxx:	zxzxzx
[14:07]	cvc1zxzxx:	zxzxzx
[14:08]	cvc1zxzxx:	zxzxzx
[14:08]	cvc1zxzxx:	zxzxzx
[14:08]	cvc1zxzxx:	zxzxzx
[14:08]	cvc1zxzxx:	zxzxzx
[14:08]	cvc1zxzxx:	zxzxzx
[14:09]	cvc1zxzxx:	zxzxzx
[14:10]	cvc1zxzxx:	zxzxzx
[14:10]	cvc1zxzxx:	zxzxzx
[14:11]	cvc1zxzxx:	zxzxzx
[14:14]	cvc1zxzxx:	zxzxzx
[14:15]	cvc1zxzxx:	zxzxzx
[14:15]	cvc1zxzxx:	zxzxzx
[14:15]	cvc1zxzxx:	zxzxzx
[14:17]	cvc1zxzxx:	yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy[13:44] 	qwqw: 	qwqw [13:44] 	qwqw: 	qwqw [13:46] 	qwqw: 	qwqw [13:49] 	: 	sddddddddddddddddddddddddddddddd [13:50] 	: 	sddddddddddddddddddddddddddddddd [13:50] 	: 	sddddddddddddddddddddddddddddddd [14:02] 	: 	123 [14:02] 	: 	123 [14:04] 	1212: 	2121 [14:04] 	12: 	3343 [14:05] 	M123: 	qwqww [14:05] 	M123123: 	2323 [14:05] 	vbvb: 	421334 [14:06] 	cvc1: 	cxcx [14:06] 	cvc1zxzxx: 	zxzxzx [14:07] 	cvc1zxzxx: 	zxzxzx [14:07] 	cvc1zxzxx: 	zxzxzx [14:08] 	cvc1zxzxx: 	zxzxzx [14:08] 	cvc1zxzxx: 	zxzxzx [14:08] 	cvc1zxzxx: 	zxzxzx [14:08] 	cvc1zxzxx: 	zxzxzx [14:08] 	cvc1zxzxx: 	zxzxzx [14:09] 	cvc1zxzxx: 	zxzxzx [14:10] 	cvc1zxzxx: 	zxzxzx [14:10] 	cvc1zxzxx: 	z
[14:17]	cvc1zxzxx:	[13:44] 	qwqw: 	qwqw [13:44] 	qwqw: 	qwqw [13:46] 	qwqw: 	qwqw [13:49] 	: 	sddddddddddddddddddddddddddddddd [13:50] 	: 	sddddddddddddddddddddddddddddddd [13:50] 	: 	sddddddddddddddddddddddddddddddd [14:02] 	: 	123 [14:02] 	: 	123 [14:04] 	1212: 	2121 [14:04] 	12: 	3343 [14:05] 	M123: 	qwqww [14:05] 	M123123: 	2323 [14:05] 	vbvb: 	421334 [14:06] 	cvc1: 	cxcx [14:06] 	cvc1zxzxx: 	zxzxzx [14:07] 	cvc1zxzxx: 	zxzxzx [14:07] 	cvc1zxzxx: 	zxzxzx [14:08] 	cvc1zxzxx: 	zxzxzx [14:08] 	cvc1zxzxx: 	zxzxzx [14:08] 	cvc1zxzxx: 	zxzxzx [14:08] 	cvc1zxzxx: 	zxzxzx [14:08] 	cvc1zxzxx: 	zxzxzx [14:09] 	cvc1zxzxx: 	zxzxzx [14:10] 	cvc1zxzxx: 	zxzxzx [14:10] 	cvc1zxzxx: 	z[13:44] 	qwqw: 	qwqw [13:44] 	qwqw: 	qwqw [13:46] 	qwqw: 	qwqw [13:49] 	: 	sddddddddddddddddddddddddddddddd [13:50] 	: 	sddddddddddddddddddddddddddddddd [13:50] 	: 	sddddddddddddddddddddddddddddddd [14:02] 	: 	123 [14:02] 	: 	123 [14:04] 	1212: 	2121 [14:04] 	12: 	3343 [14:05] 	M123: 	qwqww [14:05] 	M123123: 	2323 [14:05] 	vbvb: 	421334 [14:06] 	cvc1: 	cxcx [14:06] 	cvc1zxzxx: 	zxzxzx [14:07] 	cvc1zxzxx: 	zxzxzx [14:07] 	cvc1zxzxx: 	zxzxzx [14:08] 	cvc1zxzxx: 	zxzxzx [14:08] 	cvc1zxzxx: 	zxzxzx [14:08] 	cvc1zxzxx: 	zxzxzx [14:08] 	cvc1zxzxx: 	zxzxzx [14:08] 	cvc1zxzxx: 	zxzxzx [14:09] 	cvc1zxzxx: 	zxzxzx [14:10] 	cvc1zxzxx: 	zxzxzx [14:10] 	cvc1zxzxx: 	z[13:44] 	qwqw: 	qwqw [13:44] 	qwqw: 	qwqw [13:46] 	qwqw: 	qwqw [13:49] 	: 	sddddddddddddddddddddddddddddddd [13:50] 	: 	sddddddddddddddddddddddddddddddd [13:50] 	: 	sddddddddddddddddddddddddddddddd [14:02] 	: 	123 [14:02] 	: 	123 [14:04] 	1212: 	2121 [14:04] 	12: 	3343 [14:05] 	M123: 	qwqww [14:05] 	M123123: 	2323 [14:05] 	vbvb: 	421334 [14:06] 	cvc1: 	cxcx [14:06] 	cvc1zxzxx: 	zxzxzx [14:07] 	cvc1zxzxx: 	zxzxzx [14:07] 	cvc1zxzxx: 	zxzxzx [14:08] 	cvc1zxzxx: 	zxzxzx [14:08] 	cvc1zxzxx: 	zxzxzx [14:08] 	cvc1zxzxx: 	zxzxzx [14:08] 	cvc1zxzxx: 	zxzxzx [14:08] 	cvc1zxzxx: 	zxzxzx [14:09] 	cvc1zxzxx: 	zxzxzx [14:10] 	cvc1zxzxx: 	zxzxzx [14:10] 	cvc1zxzxx: 	z[13:44] 	qwqw: 	qwqw [13:44] 	qwqw: 	qwqw [13:46] 	qwqw: 	qwqw [13:49] 	: 	sddddddddddddddddddddddddddddddd [13:50] 	: 	sddddddddddddddddddddddddddddddd [13:50] 	: 	sddddddddddddddddddddddddddddddd [14:02] 	: 	123 [14:02] 	: 	123 [14:04] 	1212: 	2121 [14:04] 	12: 	3343 [14:05] 	M123: 	qwqww [14:05] 	M123123: 	2323 [14:05] 	vbvb: 	421334 [14:06] 	cvc1: 	cxcx [14:06] 	cvc1zxzxx: 	zxzxzx [14:07] 	cvc1zxzxx: 	zxzxzx [14:07] 	cvc1zxzxx: 	zxzxzx [14:08] 	cvc1zxzxx: 	zxzxzx [14:08] 	cvc1zxzxx: 	zxzxzx [14:08] 	cvc1zxzxx: 	zxzxzx [14:08] 	cvc1zxzxx: 	zxzxzx [14:08] 	cvc1zxzxx: 	zxzxzx [14:09] 	cvc1zxzxx: 	zxzxzx [14:10] 	cvc1zxzxx: 	zxzxzx [14:10] 	cvc1zxzxx: 	z[13:44] 	qwqw: 	qwqw [13:44] 	qwqw: 	qwqw [13:46] 	qwqw: 	qwqw [13:49] 	: 	sddddddddddddddddddddddddddddddd [13:50] 	: 	sddddddddddddddddddddddddddddddd [13:50] 	: 	sddddddddddddddddddddddddddddddd [14:02] 	: 	123 [14:02] 	: 	123 [14:04] 	1212: 	2121 [14:04] 	12: 	3343 [14:05] 	M123: 	qwqww [14:05] 	M123123: 	2323 [14:05] 	vbvb: 	421334 [14:06] 	cvc1: 	cxcx [14:06] 	cvc1zxzxx: 	zxzxzx [14:07] 	cvc1zxzxx: 	zxzxzx [14:07] 	cvc1zxzxx: 	zxzxzx [14:08] 	cvc1zxzxx: 	zxzxzx [14:08] 	cvc1zxzxx: 	zxzxzx [14:08] 	cvc1zxzxx: 	zxzxzx [14:08] 	cvc1zxzxx: 	zxzxzx [14:08] 	cvc1zxzxx: 	zxzxzx [14:09] 	cvc1zxzxx: 	zxzxzx [14:10] 	cvc1zxzxx: 	zxzxzx [14:10] 	cvc1zxzxx: 	z[13:44] 	qwqw: 	qwqw [13:44] 	qwqw: 	qwqw [13:46] 	qwqw: 	qwqw [13:49] 	: 	sddddddddddddddddddddddddddddddd [13:50] 	: 	sddddddddddddddddddddddddddddddd [13:50] 	: 	sddddddddddddddddddddddddddddddd [14:02] 	: 	123 [14:02] 	: 	123 [14:04] 	1212: 	2121 [14:04] 	12: 	3343 [14:05] 	M123: 	qwqww [14:05] 	M123123: 	2323 [14:05] 	vbvb: 	421334 [14:06] 	cvc1: 	cxcx [14:06] 	cvc1zxzxx: 	zxzxzx [14:07] 	cvc1zxzxx: 	zxzxzx [14:07] 	cvc1zxzxx: 	zxzxzx [14:08] 	cvc1zxzxx: 	zxzxzx [14:08] 	cvc1zxzxx: 	zxzxzx [14:08] 	cvc1zxzxx: 	zxzxzx [14:08] 	cvc1zxzxx: 	zxzxzx [14:08] 	cvc1zxzxx: 	zxzxzx [14:09] 	cvc1zxzxx: 	zxzxzx [14:10] 	cvc1zxzxx: 	zxzxzx [14:10] 	cvc1zxzxx: 	z[13:44] 	qwqw: 	qwqw [13:44] 	qwqw: 	qwqw [13:46] 	qwqw: 	qwqw [13:49] 	: 	sddddddddddddddddddddddddddddddd [13:50] 	: 	sddddddddddddddddddddddddddddddd [13:50] 	: 	sddddddddddddddddddddddddddddddd [14:02] 	: 	123 [14:02] 	: 	123 [14:04] 	1212: 	2121 [14:04] 	12: 	3343 [14:05] 	M123: 	qwqww [14:05] 	M123123: 	2323 [14:05] 	vbvb: 	421334 [14:06] 	cvc1: 	cxcx [14:06] 	cvc1zxzxx: 	zxzxzx [14:07] 	cvc1zxzxx: 	zxzxzx [14:07] 	cvc1zxzxx: 	zxzxzx [14:08] 	cvc1zxzxx: 	zxzxzx [14:08] 	cvc1zxzxx: 	zxzxzx [14:08] 	cvc1zxzxx: 	zxzxzx [14:08] 	cvc1zxzxx: 	zxzxzx [14:08] 	cvc1zxzxx: 	zxzxzx [14:09] 	cvc1zxzxx: 	zxzxzx [14:10] 	cvc1zxzxx: 	zxzxzx [14:10] 	cvc1zxzxx: 	z[13:44] 	qwqw: 	qwqw [13:44] 	qwqw: 	qwqw [13:46] 	qwqw: 	qwqw [13:49] 	: 	sddddddddddddddddddddddddddddddd [13:50] 	: 	sddddddddddddddddddddddddddddddd [13:50] 	: 	sddddddddddddddddddddddddddddddd [14:02] 	: 	123 [14:02] 	: 	123 [14:04] 	1212: 	2121 [14:04] 	12: 	3343 [14:05] 	M123: 	qwqww [14:05] 	M123123: 	2323 [14:05] 	vbvb: 	421334 [14:06] 	cvc1: 	cxcx [14:06] 	cvc1zxzxx: 	zxzxzx [14:07] 	cvc1zxzxx: 	zxzxzx [14:07] 	cvc1zxzxx: 	zxzxzx [14:08] 	cvc1zxzxx: 	zxzxzx [14:08] 	cvc1zxzxx: 	zxzxzx [14:08] 	cvc1zxzxx: 	zxzxzx [14:08] 	cvc1zxzxx: 	zxzxzx [14:08] 	cvc1zxzxx: 	zxzxzx [14:09] 	cvc1zxzxx: 	zxzxzx [14:10] 	cvc1zxzxx: 	zxzxzx [14:10] 	cvc1zxzxx: 	z[13:44] 	qwqw: 	qwqw [13:44] 	qwqw: 	qwqw [13:46] 	qwqw: 	qwqw [13:49] 	: 	sddddddddddddddddddddddddddddddd [13:50] 	: 	sddddddddddddddddddddddddddddddd [13:50] 	: 	sddddddddddddddddddddddddddddddd [14:02] 	: 	123 [14:02] 	: 	123 [14:04] 	1212: 	2121 [14:04] 	12: 	3343 [14:05] 	M123: 	qwqww [14:05] 	M123123: 	2323 [14:05] 	vbvb: 	421334 [14:06] 	cvc1: 	cxcx [14:06] 	cvc1zxzxx: 	zxzxzx [14:07] 	cvc1zxzxx: 	zxzxzx [14:07] 	cvc1zxzxx: 	zxzxzx [14:08] 	cvc1zxzxx: 	zxzxzx [14:08] 	cvc1zxzxx: 	zxzxzx [14:08] 	cvc1zxzxx: 	zxzxzx [14:08] 	cvc1zxzxx: 	zxzxzx [14:08] 	cvc1zxzxx: 	zxzxzx [14:09] 	cvc1zxzxx: 	zxzxzx [14:10] 	cvc1zxzxx: 	zxzxzx [14:10] 	cvc1zxzxx: 	z
[14:17]	cvc1zxzxx:	cxcrere ds d d
[15:36]	A123:	32323
[15:37]	A123:	<script>alert(\'Р’Р·Р»РѕРј\')</script>
[15:38]	A123:	21212
[16:05]	F123:	Попробуй это детка!
[16:09]	RrrR1:	&lt;br /&gt;&lt;b&gt;Notice&lt;/b&gt;:  Undefined variable: username in &lt;b&gt;C:\\xampp\\htdocs\\lesson12.1\\index.php&lt;/b&gt; on line &lt;b&gt;29&lt;/b&gt;&lt;br /&gt;
[16:27]	A123:	alert(\'Взлом\')
[16:28]	A123:	while(true) alert(\'Взломан\')
[16:31]	A123:	while(true) alert(\'Взломан\')
[16:41]	A123:	while(true) alert(\'Взломан\')
[16:41]	:	
[16:44]	:	alert(\\\'Проверка\\\')
